Date;Month;Year;Day;Hour;Grid;PV;Storage;C65B;C65
3/12/2014 6:00;12;2014;3;6;118.961636;0.020308016;-1.600000024;0.10454446;0.1448743
3/12/2014 7:00;12;2014;3;7;177.2363157;0.020354955;-1.600000024;0.1048663;0.144208898
3/12/2014 8:00;12;2014;3;8;194.2341446;-3.30100765;-1.600000024;0.10472849;0.145628193
3/12/2014 9:00;12;2014;3;9;214.1595296;-13.31818702;-1.600000024;0.104901115;0.145573883
3/12/2014 10:00;12;2014;3;10;158.2558601;-21.58661137;-1.600000024;0.105640085;0.145700914
3/12/2014 11:00;12;2014;3;11;135.0482038;-36.28136997;-1.600000024;0.10537248;0.146040793
3/12/2014 12:00;12;2014;3;12;187.9832647;-34.04674377;-1.600000024;0.105253351;0.145230963
3/12/2014 13:00;12;2014;3;13;165.1500824;-33.42623005;-1.600000024;0.105311425;0.145570576
3/12/2014 14:00;12;2014;3;14;159.0158086;-20.26520498;-1.600000024;0.104732795;0.14516755
3/12/2014 15:00;12;2014;3;15;165.2597183;-8.082507958;-1.600000024;0.10486563;0.14512345
3/12/2014 16:00;12;2014;3;16;170.4200417;-0.297952339;-1.600000024;0.104499176;0.14421336
3/12/2014 17:00;12;2014;3;17;197.587649;0.022594197;-1.600000024;0.104615765;0.144645443
3/12/2014 18:00;12;2014;3;18;174.9254133;0.022535011;-1.600000024;0.104848469;0.144677943
3/12/2014 19:00;12;2014;3;19;158.0676969;0.02170903;-1.600000024;0.10500797;0.145735964
3/12/2014 20:00;12;2014;3;20;146.5132642;0.02122628;-1.600000024;0.10507769;0.14528034
3/12/2014 21:00;12;2014;3;21;138.3281492;0.02203646;-1.600000024;0.104877455;0.145378117
3/12/2014 22:00;12;2014;3;22;128.3584248;0.021555461;-1.600000024;0.105231355;0.145766547
3/12/2014 23:00;12;2014;3;23;107.6972068;0.02065992;-1.600000024;0.105172995;0.14666088
4/12/2014 0:00;12;2014;4;0;102.2828316;0.01996082;-1.600000024;0.105449612;0.146786207
4/12/2014 1:00;12;2014;4;1;98.19407031;0.020722197;-1.600000024;0.104976885;0.146182073
4/12/2014 2:00;12;2014;4;2;91.35386734;0.020596044;-1.600000024;0.10504226;0.145468167
4/12/2014 3:00;12;2014;4;3;98.90327339;0.019633791;-1.600000024;0.10490477;0.145535667
4/12/2014 4:00;12;2014;4;4;97.98934276;0.019825009;-1.600000024;0.10508024;0.145196292
4/12/2014 5:00;12;2014;4;5;110.6704687;0.020429696;-1.600000024;0.10497068;0.144857721
4/12/2014 6:00;12;2014;4;6;121.2106556;0.02071618;-1.600000024;0.104410245;0.14420066
4/12/2014 7:00;12;2014;4;7;162.8767052;0.021146862;-1.600000024;0.104575895;0.144181117
4/12/2014 8:00;12;2014;4;8;194.5800522;-2.300021786;-1.600000024;0.104878545;0.144115711
4/12/2014 9:00;12;2014;4;9;231.4435987;-7.887560669;-1.600000024;0.104832604;0.145073773
4/12/2014 10:00;12;2014;4;10;227.8246821;-20.38797534;-1.600000024;0.10478288;0.144536843
4/12/2014 11:00;12;2014;4;11;243.5893028;-31.84868598;-1.600000024;0.105186565;0.145956444
4/12/2014 12:00;12;2014;4;12;242.6966375;-19.03023896;-1.600000024;0.10509144;0.144263867
4/12/2014 13:00;12;2014;4;13;228.6452029;-13.41593141;-1.600000024;0.105286515;0.145011341
4/12/2014 14:00;12;2014;4;14;219.179333;-6.432102406;-1.600000024;0.10481541;0.14356391
4/12/2014 15:00;12;2014;4;15;226.9423942;-4.002388672;-1.600000024;0.104512805;0.14340611
4/12/2014 16:00;12;2014;4;16;208.8194542;-0.669479875;-1.600000024;0.10442347;0.142617169
