"Grid","datetime","Load","RES","LoadOriginal","GridOriginal","Storage"
97.9692366862062,"2015-04-14T01:00:00Z",97.9692366862062,-4.50369699846241,97.9692366862062,102.472933684669,0
95,"2015-04-14T02:00:00Z",95,-2.18038344546596,95,97.180383445466,0
98.7816988006772,"2015-04-14T03:00:00Z",98.7816988006772,0.369618466922626,98.7816988006772,98.4120803337546,0.369618466922626
96.8741828034982,"2015-04-14T04:00:00Z",96.8741828034982,5.049450817461,96.8741828034982,91.8247319860372,5.049450817461
100.579100161016,"2015-04-14T05:00:00Z",100.579100161016,11.1448263303783,100.579100161016,89.4342738306378,11.1448263303783
154.181185051633,"2015-04-14T06:00:00Z",154.181185051633,23.8031261821922,154.181185051633,130.378058869441,23.8031261821922
114.404115928728,"2015-04-14T07:00:00Z",166.058177384549,51.6540614558217,166.058177384549,114.404115928728,0
145.15774398616,"2015-04-14T08:00:00Z",190.053281801243,54.5285160181291,190.053281801243,135.524765783114,9.63297820304592
161.476134279094,"2015-04-14T09:00:00Z",215.852287592837,54.3761533137429,218.042533107163,163.66637979342,0
60.8235460194148,"2015-04-14T10:00:00Z",147.093017538393,86.2694715189783,286.801803161607,200.532331642629,0
92.3455191955665,"2015-04-14T11:00:00Z",192.80961573539,100.464096539823,241.08520496461,140.621108424787,0
119.861377442598,"2015-04-14T12:00:00Z",196.417286754807,76.555909312209,237.477533945193,160.921624632985,0
166.277663969259,"2015-04-14T13:00:00Z",200.602964975332,34.3253010060731,233.291855724668,198.966554718595,0
193.314935387679,"2015-04-14T14:00:00Z",213.342677579016,20.0277421913367,213.342677579016,193.314935387679,0
191.686196458743,"2015-04-14T15:00:00Z",209.42487378089,17.7386773221469,209.42487378089,191.686196458743,0
196.391208075176,"2015-04-14T16:00:00Z",215.950773967079,19.5595658919032,217.944046732921,198.384480841018,0
166.769200722287,"2015-04-14T17:00:00Z",188.005684099838,21.2364833775513,188.005684099838,166.769200722287,0
134.69708357328,"2015-04-14T18:00:00Z",157.216087065289,22.5190034920086,157.216087065289,134.69708357328,0
116.105796992913,"2015-04-14T19:00:00Z",140.173125258432,24.0673282655187,140.173125258432,116.105796992913,0
107.813924178748,"2015-04-14T20:00:00Z",133.608388981177,25.7944648024286,133.608388981177,107.813924178748,0
97.5479312684895,"2015-04-14T21:00:00Z",125.037028431233,27.4890971627437,125.037028431233,97.5479312684895,0
77.1140055245175,"2015-04-14T22:00:00Z",106.397886450266,29.2838809257487,106.397886450266,77.1140055245175,0
75.3835028795161,"2015-04-14T23:00:00Z",106.423423482673,31.0399206031566,106.423423482673,75.3835028795161,0
49.3873968394227,"2015-04-15T00:00:00Z",98.5050343236268,0.882362515795943,98.5050343236268,97.6226718078308,-48.2352749684081
97.599098307689,"2015-04-15T01:00:00Z",97.599098307689,5.27923955111712,97.599098307689,92.3198587565719,5.27923955111712
95,"2015-04-15T02:00:00Z",95,3.87449268536809,95,91.1255073146319,3.87449268536809
98.675721898569,"2015-04-15T03:00:00Z",98.675721898569,15.9977978186265,98.675721898569,82.6779240799425,15.9977978186265
96.0563979784908,"2015-04-15T04:00:00Z",96.0563979784908,17.2369731130291,96.0563979784908,78.8194248654617,17.2369731130291
94.4773390850171,"2015-04-15T05:00:00Z",100.441375441656,12.6931706727025,100.441375441656,87.7482047689538,6.72913431606325
141.451072230121,"2015-04-15T06:00:00Z",153.858939961502,12.4078677313808,153.858939961502,141.451072230121,0
149.964859745689,"2015-04-15T07:00:00Z",166.042257686176,16.0773979404878,166.042257686176,149.964859745689,0
157.356622514103,"2015-04-15T08:00:00Z",190.270241394214,32.9136188801114,190.270241394214,157.356622514103,0
190.400302247097,"2015-04-15T09:00:00Z",214.895881221763,24.4955789746656,218.998939478237,194.503360503572,0
191.917185380598,"2015-04-15T10:00:00Z",204.476847975568,12.5596625949695,248.167972724437,235.608310129467,0
188.588435906206,"2015-04-15T11:00:00Z",202.813335278422,14.2248993722161,283.03148542159,268.806586049374,0
191.269578173689,"2015-04-15T12:00:00Z",204.162640533487,12.8930623597981,236.932180166514,224.039117806716,0
188.776204996649,"2015-04-15T13:00:00Z",202.914723605699,14.1385186090505,232.330097094301,218.19157848525,0
196.320483502732,"2015-04-15T14:00:00Z",211.883586638389,15.5631031356573,211.883586638389,196.320483502732,0
190.211458636579,"2015-04-15T15:00:00Z",207.362322843501,17.150864206922,207.362322843501,190.211458636579,0
197.152539894143,"2015-04-15T16:00:00Z",215.950773967079,18.7982340729364,217.944046732921,199.145812659985,0
167.674625841149,"2015-04-15T17:00:00Z",188.005684099838,20.331058258689,188.005684099838,167.674625841149,0
142.38004360048,"2015-04-15T18:00:00Z",164.647864530437,22.2678209299569,155.897864530435,133.630043600478,0
142.371835685765,"2015-04-15T19:00:00Z",166.021618691927,23.6497830061615,135.771618691924,112.121835685763,0
142.35976605959,"2015-04-15T20:00:00Z",167.92521980665,25.56545374706,127.675219806649,102.109766059589,0
94.5931727707358,"2015-04-15T21:00:00Z",121.883389214083,27.2902164433472,121.883389214083,94.5931727707358,0
70.8680634134357,"2015-04-15T22:00:00Z",100.315999154422,29.4479357409868,100.315999154422,70.8680634134357,0
67.0051546527373,"2015-04-15T23:00:00Z",98.6423247718319,31.6371701190946,98.6423247718319,67.0051546527373,0
51.6621464043172,"2015-04-16T00:00:00Z",97.8641029088198,3.79804349549743,97.8641029088198,94.0660594133224,-42.4039130090052
96.4459204557681,"2015-04-16T01:00:00Z",96.4459204557681,4.88600685100979,96.4459204557681,91.5599136047583,4.88600685100979
