Grid,"datetime","Load","FinalSuggestions","RES","LoadOriginal","GridOriginal","Storage"
102.472933684669,"2015-04-14T01:00:00Z",97.9692366862062,0,-4.50369699846241,97.9692366862062,102.472933684669,0
97.180383445466,"2015-04-14T02:00:00Z",95,0,-2.18038344546596,95,97.180383445466,0
98.4120803337546,"2015-04-14T03:00:00Z",98.7816988006772,0,0.369618466922626,98.7816988006772,98.4120803337546,0.369618467
91.8247319860372,"2015-04-14T04:00:00Z",96.8741828034982,0,5.049450817461,96.8741828034982,91.8247319860372,5.049450817
89.4342738306378,"2015-04-14T05:00:00Z",100.579100161016,0,11.1448263303783,100.579100161016,89.4342738306378,11.14482633
130.378058869441,"2015-04-14T06:00:00Z",154.181185051633,0,23.8031261821922,154.181185051633,130.378058869441,23.80312618
114.404115928728,"2015-04-14T07:00:00Z",166.058177384549,0,51.6540614558217,166.058177384549,114.404115928728,0
135.524765783114,"2015-04-14T08:00:00Z",190.053281801243,0,54.5285160181291,190.053281801243,135.524765783114,9.632978203
163.66637979342,"2015-04-14T09:00:00Z",218.042533107163,0,54.3761533137429,218.042533107163,163.66637979342,0
200.532331642629,"2015-04-14T10:00:00Z",286.801803161607,0,86.2694715189783,286.801803161607,200.532331642629,0
140.621108424787,"2015-04-14T11:00:00Z",241.08520496461,0,100.464096539823,241.08520496461,140.621108424787,0
160.921624632985,"2015-04-14T12:00:00Z",237.477533945193,0,76.555909312209,237.477533945193,160.921624632985,0
198.966554718595,"2015-04-14T13:00:00Z",233.291855724668,0,34.3253010060731,233.291855724668,198.966554718595,0
193.314935387679,"2015-04-14T14:00:00Z",213.342677579016,0,20.0277421913367,213.342677579016,193.314935387679,0
191.686196458743,"2015-04-14T15:00:00Z",209.42487378089,0,17.7386773221469,209.42487378089,191.686196458743,0
198.384480841018,"2015-04-14T16:00:00Z",217.944046732921,0,19.5595658919032,217.944046732921,198.384480841018,0
166.769200722287,"2015-04-14T17:00:00Z",188.005684099838,0,21.2364833775513,188.005684099838,166.769200722287,0
134.69708357328,"2015-04-14T18:00:00Z",157.216087065289,0,22.5190034920086,157.216087065289,134.69708357328,0
116.105796992913,"2015-04-14T19:00:00Z",140.173125258432,0,24.0673282655187,140.173125258432,116.105796992913,0
107.813924178748,"2015-04-14T20:00:00Z",133.608388981177,0,25.7944648024286,133.608388981177,107.813924178748,0
97.5479312684895,"2015-04-14T21:00:00Z",125.037028431233,0,27.4890971627437,125.037028431233,97.5479312684895,0
77.1140055245175,"2015-04-14T22:00:00Z",106.397886450266,0,29.2838809257487,106.397886450266,77.1140055245175,0
75.3835028795161,"2015-04-14T23:00:00Z",106.423423482673,0,31.0399206031566,106.423423482673,75.3835028795161,0
97.6226718078308,"2015-04-15T00:00:00Z",98.5050343236268,0,0.882362515795943,98.5050343236268,97.6226718078308,-48.23527497
92.3198587565719,"2015-04-15T01:00:00Z",97.599098307689,0,5.27923955111712,97.599098307689,92.3198587565719,5.279239551
91.1255073146319,"2015-04-15T02:00:00Z",95,0,3.87449268536809,95,91.1255073146319,3.874492685
82.6779240799425,"2015-04-15T03:00:00Z",98.675721898569,0,15.9977978186265,98.675721898569,82.6779240799425,15.99779782
78.8194248654617,"2015-04-15T04:00:00Z",96.0563979784908,0,17.2369731130291,96.0563979784908,78.8194248654617,17.23697311
87.7482047689538,"2015-04-15T05:00:00Z",100.441375441656,0,12.6931706727025,100.441375441656,87.7482047689538,6.729134316
141.451072230121,"2015-04-15T06:00:00Z",153.858939961502,0,12.4078677313808,153.858939961502,141.451072230121,0
149.964859745689,"2015-04-15T07:00:00Z",166.042257686176,0,16.0773979404878,166.042257686176,149.964859745689,0
157.356622514103,"2015-04-15T08:00:00Z",190.270241394214,0,32.9136188801114,190.270241394214,157.356622514103,0
194.503360503572,"2015-04-15T09:00:00Z",218.998939478237,0,24.4955789746656,218.998939478237,194.503360503572,0
216.858310129463,"2015-04-15T10:00:00Z",229.417972724432,18.7500000000043,12.5596625949695,248.167972724437,235.608310129467,0
216.856586049362,"2015-04-15T11:00:00Z",231.081485421578,51.9500000000118,14.2248993722161,283.03148542159,268.806586049374,0
216.839117806714,"2015-04-15T12:00:00Z",229.732180166513,7.20000000000164,12.8930623597981,236.932180166514,224.039117806716,0
216.84157848525,"2015-04-15T13:00:00Z",230.980097094301,1.35000000000031,14.1385186090505,232.330097094301,218.19157848525,0
196.320483502732,"2015-04-15T14:00:00Z",211.883586638389,0,15.5631031356573,211.883586638389,196.320483502732,0
190.211458636579,"2015-04-15T15:00:00Z",207.362322843501,0,17.150864206922,207.362322843501,190.211458636579,0
199.145812659985,"2015-04-15T16:00:00Z",217.944046732921,0,18.7982340729364,217.944046732921,199.145812659985,0
167.674625841149,"2015-04-15T17:00:00Z",188.005684099838,-2.8421709430404e-14,20.331058258689,188.005684099838,167.674625841149,0
142.38004360048,"2015-04-15T18:00:00Z",164.647864530437,-8.75000000000196,22.2678209299569,155.897864530435,133.630043600478,0
142.371835685765,"2015-04-15T19:00:00Z",166.021618691927,-30.2500000000024,23.6497830061615,135.771618691924,112.121835685763,0
142.35976605959,"2015-04-15T20:00:00Z",167.92521980665,-40.2500000000018,25.56545374706,127.675219806649,102.109766059589,0
94.5931727707358,"2015-04-15T21:00:00Z",121.883389214083,0,27.2902164433472,121.883389214083,94.5931727707358,0
70.8680634134357,"2015-04-15T22:00:00Z",100.315999154422,0,29.4479357409868,100.315999154422,70.8680634134357,0
67.0051546527373,"2015-04-15T23:00:00Z",98.6423247718319,0,31.6371701190946,98.6423247718319,67.0051546527373,0
