"Grid","datetime","Load","FinalSuggestions","RES"
160.83018646615,"2015-04-15T07:00:00Z",165.780090562066,0,4.94990409591609
182.583001370509,"2015-04-15T08:00:00Z",192.571287045039,0,9.9882856745299
209.641900709002,"2015-04-15T09:00:00Z",223.29782466252,0,13.6559239535182
216.848638760651,"2015-04-15T10:00:00Z",238.164054546586,6.45000000000144,21.3154157859342
216.864355334358,"2015-04-15T11:00:00Z",256.539185167232,3.85000000000088,39.6748298328738
170.942151238797,"2015-04-15T12:00:00Z",238.351173690579,0,67.409022451782
107.358251518853,"2015-04-15T13:00:00Z",231.207989552338,0,123.849738033485
88.108588204465,"2015-04-15T14:00:00Z",210.480087810128,0,122.371499605663
94.9838571177696,"2015-04-15T15:00:00Z",206.189327173192,0,111.205470055423
75.6196078178704,"2015-04-15T16:00:00Z",163.004215184818,0,87.3846073669472
63.4208876959133,"2015-04-15T17:00:00Z",134.546082551314,-7.14999999999961,71.1251948554011
63.3919259657053,"2015-04-15T18:00:00Z",117.240886860291,-3.14999999999982,53.8489608945859
104.019467037761,"2015-04-15T19:00:00Z",136.291044995683,0,32.2715779579226
103.731426206421,"2015-04-15T20:00:00Z",131.087754903746,0,27.3563286973243
96.9195274632102,"2015-04-15T21:00:00Z",123.910193955738,0,26.9906664925277
77.2893926670072,"2015-04-15T22:00:00Z",106.077379523983,0,28.7879868569757
75.9142098269957,"2015-04-15T23:00:00Z",106.362233216238,0,30.4480233892422
106.422415792796,"2015-04-16T00:00:00Z",99.5104735534282,0,-6.91194223936786
104.185876596524,"2015-04-16T01:00:00Z",98.8140003373396,0,-5.37187625918412
98.6673376941729,"2015-04-16T02:00:00Z",95,0,-3.66733769417293
100.513630366721,"2015-04-16T03:00:00Z",98.5227241080224,0,-1.99090625869849
97.8071239378154,"2015-04-16T04:00:00Z",97.5857803943541,0,-0.22134354346134
210.762199866605,"2015-04-16T09:00:00Z",219.820999644836,0,9.05879977823062
206.129696366595,"2015-04-16T10:00:00Z",236.954819821548,0,30.8251234549529
214.352474555644,"2015-04-16T11:00:00Z",257.287668437512,0,42.9351938818685
206.681034176453,"2015-04-16T12:00:00Z",237.846232759217,0,31.1651985827636
175.103573277814,"2015-04-16T13:00:00Z",232.237441782127,0,57.1338685043131
158.567613795059,"2015-04-16T14:00:00Z",210.842180160843,0,52.274566365784
172.896960062195,"2015-04-16T15:00:00Z",207.845686099745,0,34.9487260375506
176.375111464876,"2015-04-16T16:00:00Z",204.643746099094,0,28.2686346342177
134.477081273786,"2015-04-16T17:00:00Z",166.417348404041,0,31.9402671302548
118.474706162416,"2015-04-16T18:00:00Z",145.963022160921,0,27.4883159985045
106.046282759454,"2015-04-16T19:00:00Z",134.237096618254,0,28.1908138588
102.127188360073,"2015-04-16T20:00:00Z",128.84478096171,0,26.7175926016371
94.3621544555048,"2015-04-16T21:00:00Z",121.415477781935,0,27.0533233264304
72.506505477222,"2015-04-16T22:00:00Z",101.10540843115,0,28.5989029539282
72.0889930055578,"2015-04-16T23:00:00Z",101.937145394695,0,29.8481523891369
105.97496869697,"2015-04-17T00:00:00Z",98.5964110434377,0,-7.37855765353233
103.189250381272,"2015-04-17T01:00:00Z",97.4059267776687,0,-5.78332360360295
99.154904549487,"2015-04-17T02:00:00Z",95,0,-4.15490454948701
101.074973293326,"2015-04-17T03:00:00Z",98.4377854395964,0,-2.63718785372946
97.4309071526663,"2015-04-17T04:00:00Z",96.697013976758,0,-0.733893175908288
98.8899530110938,"2015-04-17T05:00:00Z",99.5445638157439,0,0.654610804650114
151.839016284356,"2015-04-17T06:00:00Z",154.377782984158,0,2.53876669980178
161.563744765557,"2015-04-17T07:00:00Z",165.815322401954,0,4.2515776363967
179.043345579641,"2015-04-17T08:00:00Z",189.658579950525,0,10.6152343708835
204.000229783997,"2015-04-17T09:00:00Z",217.87657996051,0,13.8763501765128
192.025435288745,"2015-04-17T10:00:00Z",234.661079794782,0,42.6356445060365
214.003128896724,"2015-04-17T11:00:00Z",256.38225543492,0,42.3791265381963
216.382513348095,"2015-04-17T12:00:00Z",238.146530948491,0,21.7640176003967
213.922304495774,"2015-04-17T13:00:00Z",231.614068408552,0,17.6917639127787
183.198456177281,"2015-04-17T14:00:00Z",210.02543865659,0,26.8269824793093
179.500916701905,"2015-04-17T15:00:00Z",208.455609491959,0,28.9546927900546
144.508547917172,"2015-04-17T16:00:00Z",189.74970839981,0,45.2411604826384
95.5850383479764,"2015-04-17T17:00:00Z",145.562100831557,0,49.9770624835806
99.0078017059257,"2015-04-17T18:00:00Z",134.146725737693,0,35.1389240317677
97.7642212764889,"2015-04-17T19:00:00Z",127.340769443237,0,29.576548166748
96.781361407412,"2015-04-17T20:00:00Z",123.339823278247,0,26.558461870835
91.6321551403119,"2015-04-17T21:00:00Z",118.104441241547,0,26.4722861012351
69.5753180722884,"2015-04-17T22:00:00Z",97.6584621684164,0,28.083144096128
70.2083786800206,"2015-04-17T23:00:00Z",100.00720408078,0,29.7988254007595
102.151353688911,"2015-04-18T00:00:00Z",95,0,-7.15135368891074
100.470387069157,"2015-04-18T01:00:00Z",95,0,-5.47038706915686
98.6918997778551,"2015-04-18T02:00:00Z",95,0,-3.69189977785514
97.3895285957234,"2015-04-18T03:00:00Z",95,0,-2.38952859572342
97.1432161873029,"2015-04-18T04:00:00Z",96.3704426414902,0,-0.772773545812751
94.3290793074162,"2015-04-18T05:00:00Z",95.8273008212949,0,1.49822151387873
142.679549855033,"2015-04-18T06:00:00Z",145.772182181114,0,3.09263232608108
